,benchmark,target,total_iterations,threads,workers,data_length,block_threshold,priorities,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,precision,num_workers,block_size,max_edge_weight,rounds,smokers,actors,pings,columns,simulations,channels,eating_rounds,philosophers,messages,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,messages_per_worker,write_percentage,data_size,max_value,seed,haircuts,waiting_room_size,production_rate,haircut_rate,size_percentage,pieces,left,right,size,threshold,solution_limit,grid_size,accounts,transactions,terms,series,start_rate
0,Recursive Matrix Multiplication,lf-cpp,12,1,20.0,512.0,16384.0,10.0,master,[],default,160.324,169.684,166.75799999999998,166.14516666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Precise Pi Computation,lf-cpp,12,1,20.0,,,,master,[],default,197.774,211.805,203.405,203.47091666666665,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,All-Pairs Shortest Path,lf-cpp,12,1,,,,,master,[],default,605.61,631.687,619.157,618.9816666666667,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cigarette Smokers,lf-cpp,12,1,,,,,master,[],default,10.3548,11.2918,10.61485,10.75935,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thread Ring,lf-cpp,12,12,,,,,master,[],default,217.229,238.25,220.9615,222.95425,,,,,,,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Filter Bank,lf-cpp,12,12,,,,,master,[],default,287.634,313.554,301.23199999999997,301.31666666666666,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Philosophers,lf-cpp,12,12,,,,,master,[],default,100.244,110.502,103.18299999999999,103.77083333333333,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Big,lf-cpp,12,1,,,,,master,[],default,287.895,315.566,300.549,300.6708333333333,,,,,,,120.0,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Big,lf-cpp,12,12,,,,,master,[],default,300.466,349.188,307.2585,314.09025,,,,,,,120.0,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Thread Ring,lf-cpp,12,1,,,,,master,[],default,199.41,215.728,210.686,209.22708333333333,,,,,,,100.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Producer Consumer (bounded),lf-cpp,12,1,,,,,master,[],default,335.264,401.999,350.56449999999995,353.3379166666667,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
11,Recursive Matrix Multiplication,lf-cpp,12,12,20.0,512.0,16384.0,10.0,master,[],default,85.0803,95.0748,87.4819,88.428875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Concurrent Dictionary,lf-cpp,12,1,20.0,,,,master,[],default,93.7756,110.148,100.539,100.962125,,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,
13,All-Pairs Shortest Path,lf-cpp,12,12,,,,,master,[],default,456.361,489.261,462.786,468.0939166666667,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Radix Sort,lf-cpp,12,1,,,,,master,[],default,448.878,471.443,454.72799999999995,456.10666666666674,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,
15,Sleeping Barber,lf-cpp,12,1,,,,,master,[],default,185.608,205.506,198.42399999999998,197.92308333333335,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,
16,Producer Consumer (bounded),lf-cpp,12,12,,,,,master,[],default,214.197,237.583,229.4415,228.81258333333335,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
17,Concurrent Sorted Linked List,lf-cpp,12,12,20.0,,,,master,[],default,245.086,398.319,259.624,273.647,,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,1.0,,,,,,,,,,,,
18,Radix Sort,lf-cpp,12,12,,,,,master,[],default,478.26,507.371,492.91650000000004,492.1803333333333,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,
19,Trapezoidal Approximation,lf-cpp,12,1,100.0,,,,master,[],default,168.024,178.704,172.5815,172.73775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,
20,Concurrent Sorted Linked List,lf-cpp,12,1,20.0,,,,master,[],default,234.424,257.071,243.6935,243.90233333333336,,,,,,,,,,,,,,,,,,,,,1500.0,10.0,,,,,,,,1.0,,,,,,,,,,,,
21,NQueens first N solutions,lf-cpp,12,1,,,,10.0,master,[],default,757.271,783.071,764.5105,767.2109166666665,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,
22,Fork Join (throughput),lf-cpp,12,12,,,,,master,[],default,31.88,34.2142,33.30655,33.17050833333334,,,,,,,60.0,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Concurrent Dictionary,lf-cpp,12,12,20.0,,,,master,[],default,100.852,124.312,108.25649999999999,109.20166666666667,,,,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,
24,NQueens first N solutions,lf-cpp,12,12,,,,10.0,master,[],default,453.182,478.08,468.295,467.27241666666674,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,1500000.0,,,,,,
25,Filter Bank,lf-cpp,12,1,,,,,master,[],default,282.186,296.53,286.26599999999996,287.49583333333334,,,,,,,,,100.0,34816.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,A-Star Search,lf-cpp,12,1,,,,30.0,master,[],default,40.6168,47.3577,42.2065,42.77878333333334,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,,30.0,,,,,
27,Fork Join (throughput),lf-cpp,12,1,,,,,master,[],default,30.5638,35.0868,31.189349999999997,31.513483333333337,,,,,,,60.0,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Precise Pi Computation,lf-cpp,12,12,20.0,,,,master,[],default,136.717,159.937,141.518,143.65416666666667,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A-Star Search,lf-cpp,12,12,,,,30.0,master,[],default,131.496,450.072,270.19550000000004,269.8654166666667,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,,30.0,,,,,
30,Cigarette Smokers,lf-cpp,12,12,,,,,master,[],default,9.92705,12.3856,10.728349999999999,10.750587500000002,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Counting Actor,lf-cpp,12,12,,,,,master,[],default,410.663,441.633,417.48199999999997,420.13349999999997,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ping Pong,lf-cpp,12,1,,,,,master,[],default,139.738,157.974,147.5515,147.9665,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bank Transaction,lf-cpp,12,1,,,,,master,[],default,378.058,434.463,386.56,391.4638333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,
34,Logistic Map Series,lf-cpp,12,1,,,,,master,[],default,68.1281,73.4714,69.77995,70.01528333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46
35,Philosophers,lf-cpp,12,1,,,,,master,[],default,91.2814,101.703,96.40405,96.71290833333335,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Trapezoidal Approximation,lf-cpp,12,12,100.0,,,,master,[],default,85.4986,95.9714,88.56784999999999,88.75061666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,
37,Counting Actor,lf-cpp,12,1,,,,,master,[],default,335.08,362.352,345.54949999999997,347.56575,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sleeping Barber,lf-cpp,12,12,,,,,master,[],default,202.647,218.432,212.9565,211.7680833333333,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,
39,Logistic Map Series,lf-cpp,12,12,,,,,master,[],default,70.5902,78.6173,74.19555,74.60843333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46
40,Ping Pong,lf-cpp,12,12,,,,,master,[],default,166.138,184.425,169.889,171.92774999999997,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bank Transaction,lf-cpp,12,12,,,,,master,[],default,221.952,253.789,233.0045,234.0775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,
