,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
0,Counting Actor,lf-cpp,12,2,1000000.0,master,[],default,349.446,387.267,364.83299999999997,366.88450000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Philosophers,lf-cpp,12,2,,master,[],default,181.372,195.577,186.916,187.13575,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Precise Pi Computation,lf-cpp,12,4,,master,[],default,104.384,124.402,119.643,118.79975,,,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sleeping Barber,lf-cpp,12,9,,master,[],default,113.425,132.146,116.947,118.69283333333334,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fork Join (throughput),lf-cpp,12,18,10000.0,master,[],default,32.1054,36.2308,33.193,33.73438333333333,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Recursive Matrix Multiplication,lf-cpp,12,2,,master,[],default,101.075,108.353,104.16550000000001,104.21658333333333,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Logistic Map Series,lf-cpp,12,18,,master,[],default,79.4244,88.8032,83.59755,83.62638333333332,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Big,lf-cpp,12,4,500.0,master,[],default,302.506,323.002,312.14300000000003,313.1720833333333,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,All-Pairs Shortest Path,lf-cpp,12,4,,master,[],default,423.311,448.463,438.8275,438.2394166666666,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cigarette Smokers,lf-cpp,12,18,,master,[],default,10.3438,11.0803,10.7762,10.741725,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,Concurrent Dictionary,lf-cpp,12,2,,master,[],default,152.906,162.916,158.99849999999998,159.1724166666667,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
11,Concurrent Dictionary,lf-cpp,12,4,,master,[],default,105.83,130.526,112.70949999999999,113.49166666666667,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
12,NQueens first N solutions,lf-cpp,12,4,,master,[],default,466.468,503.632,481.547,482.22575,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
13,Recursive Matrix Multiplication,lf-cpp,12,4,,master,[],default,99.7769,109.524,103.1945,103.41065833333333,,,20.0,,,,,,,512.0,16384.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Logistic Map Series,lf-cpp,12,9,,master,[],default,75.2639,80.3321,77.96455,78.00685833333334,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sleeping Barber,lf-cpp,12,2,,master,[],default,108.082,119.034,110.5065,112.19133333333333,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Trapezoidal Approximation,lf-cpp,12,2,,master,[],default,81.3258,87.9551,83.04525000000001,83.55003333333333,,,100.0,,,,,,,,,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,
17,Counting Actor,lf-cpp,12,4,1000000.0,master,[],default,355.486,367.702,360.07550000000003,360.92858333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Concurrent Dictionary,lf-cpp,12,18,,master,[],default,102.737,114.371,109.9555,109.28216666666667,,,20.0,,,,,,,,,,,,,,,,,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
