,benchmark,target,total_iterations,threads,actors,pings,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,num_workers,grid_size,priorities,threshold,messages,data_size,max_value,seed,workers,messages_per_worker,write_percentage,size_percentage,haircuts,waiting_room_size,production_rate,haircut_rate,terms,series,start_rate,pieces,left,right,accounts,transactions,data_length,block_threshold,rounds,smokers,columns,simulations,channels,block_size,max_edge_weight,precision,size,solution_limit,eating_rounds,philosophers
0,Thread Ring,lf-cpp,12,6,100.0,1000000.0,master,[],default,212.95,235.382,222.6135,223.48366666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ping Pong,lf-cpp,12,3,,300000.0,master,[],default,144.923,160.374,153.7975,152.7795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Producer Consumer (bounded),lf-cpp,12,3,,,master,[],default,164.507,172.161,168.713,168.73708333333335,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A-Star Search,lf-cpp,12,24,,,master,[],default,176.452,676.625,394.7665,413.042,,,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fork Join (throughput),lf-cpp,12,3,60.0,,master,[],default,56.8974,67.2897,61.890249999999995,61.717008333333325,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Radix Sort,lf-cpp,12,3,,,master,[],default,467.398,503.4,484.425,485.5600000000001,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Concurrent Sorted Linked List,lf-cpp,12,3,,,master,[],default,244.939,259.875,254.494,253.46533333333332,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Concurrent Sorted Linked List,lf-cpp,12,6,,,master,[],default,237.772,251.909,241.2625,242.89916666666662,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Concurrent Sorted Linked List,lf-cpp,12,24,,,master,[],default,243.676,320.857,263.85400000000004,268.22791666666666,,,,,,,,,,,,,,,20.0,1500.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Big,lf-cpp,12,24,120.0,,master,[],default,307.919,336.559,324.024,323.67316666666665,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sleeping Barber,lf-cpp,12,6,,,master,[],default,105.772,113.707,108.86099999999999,108.59075,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
11,Thread Ring,lf-cpp,12,24,100.0,1000000.0,master,[],default,216.962,229.66,223.91899999999998,223.76158333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Logistic Map Series,lf-cpp,12,6,,,master,[],default,74.126,80.596,76.17075,76.57019166666666,,,,,,,,,,,,,,,,,,,,,,,25000.0,10.0,3.46,,,,,,,,,,,,,,,,,,,
13,Producer Consumer (bounded),lf-cpp,12,24,,,master,[],default,190.508,212.297,198.883,199.94458333333333,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ping Pong,lf-cpp,12,24,,300000.0,master,[],default,178.898,196.752,189.615,188.66608333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Trapezoidal Approximation,lf-cpp,12,24,,,master,[],default,81.9432,83.913,82.74725000000001,82.71644166666665,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
16,Bank Transaction,lf-cpp,12,24,,,master,[],default,124.179,143.324,127.18100000000001,129.29308333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,,,,,
17,Sleeping Barber,lf-cpp,12,24,,,master,[],default,109.924,124.932,114.253,114.77683333333334,,,,,,,,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,
18,Recursive Matrix Multiplication,lf-cpp,12,3,,,master,[],default,99.7774,103.737,101.9565,101.87078333333334,,,,,,,,,10.0,,,,,,20.0,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,
19,Cigarette Smokers,lf-cpp,12,24,,,master,[],default,10.838,21.0527,10.9842,11.860558333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,,,,,
20,Trapezoidal Approximation,lf-cpp,12,6,,,master,[],default,83.4448,86.9461,84.10505,84.59689999999999,,,,,,,,,,,,,,,100.0,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,
